"lang_key","group","key","value"
"en","user","to_pay","To Pay"
"en","user","receive","Receive"
"en","user","pay","Pay"
"en","user","status","Status"
"en","user","role","Role"
"en","user","days","Day(s)"
"en","user","profile_updated","Profile Updated Successfully"
"en","user","password_blank","Leave blank if you don't want to update password."
"en","user","total_sales","Total Sales"
"en","user","total_purchases","Total Purchases"
"en","user","walk_in_customer","Walk In Customer"
"en","user","staff_members_details","Staff Member Details"
"en","user","customers_details","Customer Details"
"en","user","suppliers_details","Supplier Details"
"en","user","admin_account_details","Admin Account Details"
"en","staff_member","add","Add New Staff Member"
"en","staff_member","edit","Edit Staff Member"
"en","staff_member","created","Staff Member Created Successfully"
"en","staff_member","updated","Staff Member Updated Successfully"
"en","staff_member","deleted","Staff Member Deleted Successfully"
"en","staff_member","staff_member_details","Staff Member Details"
"en","staff_member","staff_member","Staff Member"
"en","staff_member","delete_message","Are you sure you want to delete this staff member?"
"en","staff_member","import_staff_members","Import Staff Members"
"en","customer","add","Add New Customer"
"en","customer","edit","Edit Customer"
"en","customer","created","Customer Created Successfully"
"en","customer","updated","Customer Updated Successfully"
"en","customer","deleted","Customer Deleted Successfully"
"en","customer","customer_details","Customer Details"
"en","customer","delete_message","Are you sure you want to delete this customer?"
"en","customer","import_customers","Import Customers"
"en","supplier","add","Add New Supplier"
"en","supplier","edit","Edit Supplier"
"en","supplier","created","Supplier Created Successfully"
"en","supplier","updated","Supplier Updated Successfully"
"en","supplier","deleted","Supplier Deleted Successfully"
"en","supplier","supplier_details","Supplier Details"
"en","supplier","delete_message","Are you sure you want to delete this supplier?"
"en","supplier","import_suppliers","Import Suppliers"
"en","warehouse","add","Add New Warehouse"
"en","warehouse","edit","Edit Warehouse"
"en","warehouse","created","Warehouse Created Successfully"
"en","warehouse","updated","Warehouse Updated Successfully"
"en","warehouse","deleted","Warehouse Deleted Successfully"
"en","warehouse","warehouse_details","Warehouse Details"
"en","warehouse","warehouse","Warehouse"
"en","warehouse","logo","Logo"
"en","warehouse","dark_logo","Dark Logo"
"en","warehouse","name","Name"
"en","warehouse","slug","Slug"
"en","warehouse","email","Email"
"en","warehouse","phone","Phone"
"en","warehouse","address","Billing Address"
"en","warehouse","show_email_on_invoice","Show email on invoice"
"en","warehouse","show_phone_on_invoice","Show phone on invoice"
"en","warehouse","terms_condition","Terms & Conditions"
"en","warehouse","bank_details","Bank Details"
"en","warehouse","signature","Signature"
"en","warehouse","delete_message","Are you sure you want to delete this warehouse?"
"en","warehouse","details_will_be_shown_on_invoice","Note: Details added below will be shown on your invoices"
"en","warehouse","online_store","Online Store"
"en","warehouse","online_store_status_updated","Online store status updated successfully"
"en","warehouse","no_online_store_exists","No online store exists for this url. Please contact to admin for support."
"en","warehouse","view_online_store","View Online Store"
"en","front_website","home","Home"
"en","front_website","features","Features"
"en","front_website","pricing","Pricing"
"en","front_website","contact","Contact"
"en","front_website","links","Links"
"en","front_website","pages","Pages"
"en","front_website","register","Register"
"en","front_website","company_name","Company Name"
"en","front_website","email","Email"
"en","front_website","password","Password"
"en","front_website","confirm_password","Confirm Password"
"en","front_website","login","Login"
"en","front_website","first_name","First Name"
"en","front_website","last_name","Last Name"
"en","front_website","address","Address"
"en","front_website","phone","Phone"
"en","front_website","send_message","Send Message"
"en","front_website","register_thank_you","Thank you for registration. Please login to get started"
"en","front_website","error_contact_support","Some error occurred when inserting the data. Please try again or contact support"
"en","front_website","contact_us_submit_message","Thanks for contacting us. We will catch you soon."
"en","role","add","Add New Role"
"en","role","edit","Edit Role"
"en","role","created","Role Created Successfully"
"en","role","updated","Role Updated Successfully"
"en","role","deleted","Role Deleted Successfully"
"en","role","role_details","Role Details"
"en","role","delete_message","Are you sure you want to delete this role?"
"en","role","display_name","Display Name"
"en","role","role_name","Role Name"
"en","role","description","Description"
"en","role","user_management","User Management"
"en","role","permissions","Permissions"
"en","company","add","Add New Company"
"en","company","edit","Edit Company"
"en","company","created","Company Created Successfully"
"en","company","updated","Company Updated Successfully"
"en","company","deleted","Company Deleted Successfully"
"en","company","currency_details","Company Details"
"en","company","delete_message","Are you sure you want to delete this company?"
"en","company","name","Company Name"
"en","company","short_name","Company Short Name"
"en","company","email","Company Email"
"en","company","phone","Company Phone"
"en","company","address","Company Address"
"en","company","currency","Currency"
"en","company","logo","Company Logo"
"en","company","left_sidebar_theme","Left Sidebar Theme"
"en","company","dark","Dark"
"en","company","light","Light"
"en","company","dark_logo","Dark Logo"
"en","company","light_logo","Light Logo"
"en","company","small_dark_logo","Small Dark Logo"
"en","company","small_light_logo","Small Light Logo"
"en","company","primary_color","Primary Color"
"en","company","default_timezone","Default Timezone"
"en","company","date_format","Date Format"
"en","company","time_format","Time Format"
"en","company","auto_detect_timezone","Auto Detect Timezone"
"en","company","app_debug","App Debug"
"en","company","update_app_notification","Update App Notitication"
"en","company","login_image","Login Image"
"en","company","layout","Layout"
"en","company","rtl","RTL"
"en","company","ltr","LTR"
"en","company","shortcut_menu_Placement","Add Menu Placement"
"en","company","top_and_bottom","Top & Bottom"
"en","company","top_header","Top Header"
"en","company","bottom_corner","Bottom Conrer"
"en","company","shortcut_menu_setting","Add Menu Settings"
"en","company","menu_setting_updated","Menu Setting Updated"
"en","company","basic_details","Basic Details"
"en","company","details","Details"
"en","company","register_date","Register Date"
"en","company","total_users","Total Users"
"en","tax","add","Add New Tax"
"en","tax","edit","Edit Tax"
"en","tax","created","Tax Created Successfully"
"en","tax","updated","Tax Updated Successfully"
"en","tax","deleted","Tax Deleted Successfully"
"en","tax","tax_details","Tax Details"
"en","tax","delete_message","Are you sure you want to delete this tax?"
"en","tax","display_name","Display Name"
"en","tax","name","Name"
"en","tax","rate","Tax Rate"
"en","tax","no_tax","No Tax"
"en","currency","add","Add New Currency"
"en","currency","edit","Edit Currency"
"en","currency","created","Currency Created Successfully"
"en","currency","updated","Currency Updated Successfully"
"en","currency","deleted","Currency Deleted Successfully"
"en","currency","currency_details","Currency Details"
"en","currency","delete_message","Are you sure you want to delete this currency?"
"en","currency","name","Currency Name"
"en","currency","symbol","Currency Symbol"
"en","currency","position","Currency Position"
"en","currency","front","Front"
"en","currency","front_position_example","Example : $100"
"en","currency","behind","Behind"
"en","currency","behind_position_example","Example : 100$"
"en","currency","code","Currency Code"
"en","payment_mode","add","Add New Payment Mode"
"en","payment_mode","edit","Edit Payment Mode"
"en","payment_mode","created","Payment Mode Created Successfully"
"en","payment_mode","updated","Payment Mode Updated Successfully"
"en","payment_mode","deleted","Payment Mode Deleted Successfully"
"en","payment_mode","payment_mode_details","Payment Mode Details"
"en","payment_mode","delete_message","Are you sure you want to delete this payment mode?"
"en","payment_mode","name","Payment Mode Name"
"en","unit","add","Add New Unit"
"en","unit","edit","Edit Unit"
"en","unit","created","Unit Created Successfully"
"en","unit","updated","Unit Updated Successfully"
"en","unit","deleted","Unit Deleted Successfully"
"en","unit","delete_message","Are you sure you want to delete this unit?"
"en","unit","unit_details","Unit Details"
"en","unit","name","Unit Name"
"en","unit","short_name","Short Name"
"en","unit","base_unit","Base Unit"
"en","unit","operator","Operator"
"en","unit","multiply","Multiply (*)"
"en","unit","divide","Divide (/)"
"en","unit","operator_value","Operator Value"
"en","custom_field","add","Add New Custom Field"
"en","custom_field","edit","Edit Custom Field"
"en","custom_field","created","Custom Field Created Successfully"
"en","custom_field","updated","Custom Field Updated Successfully"
"en","custom_field","deleted","Custom Field Deleted Successfully"
"en","custom_field","delete_message","Are you sure you want to delete this custom field?"
"en","custom_field","name","Field Name"
"en","custom_field","value","Default Value"
"en","custom_field","type","Field Type"
"en","module","name","Module Name"
"en","module","verified","Verified"
"en","module","verify_purchase_code","Verify Purchase Code"
"en","module","current_version","Current Version"
"en","module","latest_version","Latest Version"
"en","module","status","Status"
"en","module","installed_modules","Installed Modules"
"en","module","other_modules","Other Modules"
"en","module","module_status_updated","Modules Status Updated"
"en","module","downloading_completed","Download Completed"
"en","module","extract_zip_file","Extract Zip File"
"en","module","file_extracted","Zip File Extracted"
"en","update_app","app_details","App Details"
"en","update_app","name","Name"
"en","update_app","value","Value"
"en","update_app","php_version","PHP Version"
"en","update_app","app_version","App Version"
"en","update_app","laravel_version","Laravel Version"
"en","update_app","mysql_version","MySQL Version"
"en","update_app","vue_version","Vue Version"
"en","update_app","update_app","Update App"
"en","update_app","update_now","Update Now"
"en","update_app","update_available","Update Available"
"en","update_app","verify_again","Verify Again"
"en","update_app","verify_failed","Verification Failed"
"en","update_app","verify_failed_message","Your application is not registerd with us. Please verify it"
"en","update_app","verified_with_other_domain","Your purchase code is registerd with other doamin. Please verfiy your purhcase code"
"en","expense_category","add","Add New Expense Category"
"en","expense_category","edit","Edit Expense Category"
"en","expense_category","created","Expense Category Created Successfully"
"en","expense_category","updated","Expense Category Updated Successfully"
"en","expense_category","deleted","Expense Category Deleted Successfully"
"en","expense_category","delete_message","Are you sure you want to delete this expense category?"
"en","expense_category","expense_category_details","Expense Category Details"
"en","expense_category","name","Expense Category Name"
"en","expense_category","description","Description"
"en","expense","add","Add New Expense"
"en","expense","edit","Edit Expense"
"en","expense","created","Expense Created Successfully"
"en","expense","updated","Expense Updated Successfully"
"en","expense","deleted","Expense Deleted Successfully"
"en","expense","delete_message","Are you sure you want to delete this expense?"
"en","expense","details","Expense Details"
"en","expense","warehouse","Warehouse"
"en","expense","expense_category","Expense Category"
"en","expense","date","Date"
"en","expense","amount","Amount"
"en","expense","bill","Expense Bill"
"en","expense","user","User"
"en","expense","created_by_user","User"
"en","expense","notes","Notes"
"en","brand","add","Add New Brand"
"en","brand","edit","Edit Brand"
"en","brand","created","Brand Created Successfully"
"en","brand","updated","Brand Updated Successfully"
"en","brand","deleted","Brand Deleted Successfully"
"en","brand","delete_message","Are you sure you want to delete this brand?"
"en","brand","details","Brand Details"
"en","brand","name","Name"
"en","brand","slug","Slug"
"en","brand","logo","Brand Logo"
"en","brand","import_brands","Import Brands"
"en","category","add","Add New Category"
"en","category","edit","Edit Category"
"en","category","created","Category Created Successfully"
"en","category","updated","Category Updated Successfully"
"en","category","deleted","Category Deleted Successfully"
"en","category","delete_message","Are you sure you want to delete this category?"
"en","category","details","Category Details"
"en","category","category","Category"
"en","category","name","Name"
"en","category","slug","Slug"
"en","category","logo","Category Logo"
"en","category","parent_category","Parent Category"
"en","category","no_parent_category","No Parent Category"
"en","category","import_categories","Import Categories"
"en","product","add","Add New Product"
"en","product","edit","Edit Product"
"en","product","created","Product Created Successfully"
"en","product","updated","Product Updated Successfully"
"en","product","deleted","Product Deleted Successfully"
"en","product","delete_message","Are you sure you want to delete this product?"
"en","product","details","Product Details"
"en","product","name","Name"
"en","product","slug","Slug"
"en","product","sku","SKU"
"en","product","image","Image"
"en","product","quantitiy_alert","Quantity Alert"
"en","product","brand","Brand"
"en","product","category","Category"
"en","product","price","Price"
"en","product","mrp","MRP"
"en","product","purchase_price","Purchase Price"
"en","product","sales_price","Sales Price"
"en","product","tax_type","Tax Type"
"en","product","description","Description"
"en","product","product","Product"
"en","product","quantity","Quantity"
"en","product","discount","Discount"
"en","product","tax","Tax"
"en","product","subtotal","SubTotal"
"en","product","unit","Unit"
"en","product","unit_price","Unit Price"
"en","product","avl_qty","Avl. qty:"
"en","product","order_items","Order Items"
"en","product","inclusive","Inclusive"
"en","product","exclusive","Exclusive"
"en","product","stocks","Stocks"
"en","product","stock_quantity","Stock Quantity"
"en","product","product_orders","Product Orders"
"en","product","stock_history","Stock History"
"en","product","current_stock","Current Stock"
"en","product","item_code","Item Code"
"en","product","barcode_symbology","Barcode Symbology"
"en","product","barcode","Barcode"
"en","product","view_barcode","View Barcode"
"en","product","generate_barcode","Generate Barcode"
"en","product","print_barcode","Print Barcode"
"en","product","price_tax","Price & Tax"
"en","product","custom_fields","Custom Fields"
"en","product","wholesale_rate","Wholesale Rate"
"en","product","wholesale_price","Wholesale Price"
"en","product","wholesale_quantity","Wholesale Quantity"
"en","product","enter_min_quantity","Enter Minimum Quantity"
"en","product","opening_stock","Opening Stock"
"en","product","opening_stock_date","Opening Stock Date"
"en","product","stock_value","Stock Value"
"en","product","by_purchase","By Purchase"
"en","product","by_sales","By Sales"
"en","product","unit_sold","Unit Sold"
"en","product","import_products","Import Products"
"en","stock","order_type","Order Type"
"en","stock","order_date","Order Date"
"en","stock","warehouse","Warehouse"
"en","stock","supplier","Supplier"
"en","stock","customer","Customer"
"en","stock","product","Product"
"en","stock","invoice_number","Invoice Number"
"en","stock","invoie_number_blank","Leave it blank to generate automatically"
"en","stock","notes","Notes"
"en","stock","status","Order Status"
"en","stock","order_tax","Order Tax"
"en","stock","discount","Discount"
"en","stock","shipping","Shipping"
"en","stock","grand_total","Grand Total"
"en","stock","remarks","Remarks"
"en","stock","pay_now","Pay Now"
"en","stock","reset","Reset"
"en","stock","total_items","Total Items"
"en","stock","paying_amount","Paying Amount"
"en","stock","payable_amount","Payable Amount"
"en","stock","change_return","Change Return"
"en","stock","order_details","Order Details"
"en","stock","order_canceled","Order Canceled Successfully"
"en","stock","order_cancel_message","Are you sure you want to cancel this order?"
"en","stock","view_order","View Order"
"en","stock","order_id","Order Id"
"en","stock","shipping_address","Shipping Address"
"en","stock","billing_address","Billing Address"
"en","stock","order_taken_by","Order Taken By"
"en","stock","no_product_found","No product found for selected resource"
"en","purchase","add","Add New Purchase"
"en","purchase","edit","Edit Purchase"
"en","purchase","details","Purchase Details"
"en","purchase","created","Purchase Created Successfully"
"en","purchase","updated","Purchase Updated Successfully"
"en","purchase","deleted","Purchase Deleted Successfully"
"en","purchase","delete_message","Are you sure you want to delete this purchase?"
"en","purchase","purchase_date","Purchase Date"
"en","purchase","purchase_status","Purchase Status"
"en","purchase","user","Supplier"
"en","sales","add","Add New Sales"
"en","sales","edit","Edit Sales"
"en","sales","details","Sales Details"
"en","sales","created","Sales Created Successfully"
"en","sales","updated","Sales Updated Successfully"
"en","sales","deleted","Sales Deleted Successfully"
"en","sales","delete_message","Are you sure you want to delete this sales?"
"en","sales","sales_date","Sales Date"
"en","sales","sales_status","Sales Status"
"en","sales","user","Customer"
"en","sales","tax_invoice","TAX INVOICE"
"en","sales","invoice","Invoice"
"en","purchase_returns","add","Add New Purchase Return"
"en","purchase_returns","edit","Edit Purchase Return"
"en","purchase_returns","details","Purchase Return Details"
"en","purchase_returns","created","Purchase Return Created Successfully"
"en","purchase_returns","updated","Purchase Return Updated Successfully"
"en","purchase_returns","deleted","Purchase Return Deleted Successfully"
"en","purchase_returns","delete_message","Are you sure you want to delete this purchase return?"
"en","purchase_returns","purchase_returns_date","Return Date"
"en","purchase_returns","purchase_returns_status","Return Status"
"en","purchase_returns","user","Supplier"
"en","sales_returns","add","Add New Sales Return"
"en","sales_returns","edit","Edit Sales Return"
"en","sales_returns","details","Sales Return Details"
"en","sales_returns","created","Sales Return Created Successfully"
"en","sales_returns","updated","Sales Return Updated Successfully"
"en","sales_returns","deleted","Sales Return Deleted Successfully"
"en","sales_returns","delete_message","Are you sure you want to delete this sales return?"
"en","sales_returns","sales_returns_date","Return Date"
"en","sales_returns","sales_returns_status","Return Status"
"en","sales_returns","user","Customer"
"en","quotation","add","Add New Quotation"
"en","quotation","edit","Edit Quotation"
"en","quotation","details","Quotation Details"
"en","quotation","created","Quotation Created Successfully"
"en","quotation","updated","Quotation Updated Successfully"
"en","quotation","deleted","Quotation Deleted Successfully"
"en","quotation","delete_message","Are you sure you want to delete this quotation/estimate?"
"en","quotation","quotation_date","Quotation Date"
"en","quotation","quotation_status","Quotation Status"
"en","quotation","user","Customer"
"en","quotation","tax_invoice","TAX INVOICE"
"en","quotation","invoice","Invoice"
"en","quotation","convert_to_sale","Convert to sale"
"en","quotation","convert_message","Are you really want to convert this quotation to sales?"
"en","quotation","quotation_converted_to_sales","Quotation converted to sales successfully."
"en","payments","add","Add New Payment"
"en","payments","edit","Edit Payment"
"en","payments","details","Payment Details"
"en","payments","created","Payment Created Successfully"
"en","payments","updated","Payment Updated Successfully"
"en","payments","deleted","Payment Deleted Successfully"
"en","payments","delete_message","Are you sure you want to delete this payment?"
"en","payments","user","User"
"en","payments","amount","Amount"
"en","payments","invoice_amount","Invoice Amount"
"en","payments","payment_number","Reference Number"
"en","payments","payments","Payments"
"en","payments","date","Payment Date"
"en","payments","due_amount","Due Amount"
"en","payments","paid_amount","Paid Amount"
"en","payments","total_amount","Total Amount"
"en","payments","unused_amount","Unused Amount"
"en","payments","settled_amount","Settled Amount"
"en","payments","payment_mode","Payment Mode"
"en","payments","paid_total_amount","Paid/Total Amount"
"en","payments","notes","Notes"
"en","payments","payment_status","Payment Status"
"en","payments","unpaid","Unpaid"
"en","payments","paid","Paid"
"en","payments","transactions","Transactions"
"en","payments","transaction_number","Txns No."
"en","payments","partially_paid","Partially Paid"
"en","payments","order_payment","Order Payment"
"en","payments","settle_invoice_using_payment","Settle below invoices using this payment"
"en","payments","payment_type","Payment Type"
"en","payments","you_will_pay","You Will Pay"
"en","payments","you_will_receive","You Will Receive"
"en","payments","cash","Cash"
"en","payments","bank","Bank"
"en","langs","add","Add New Language"
"en","langs","edit","Edit Language"
"en","langs","details","Language Details"
"en","langs","created","Language Created Successfully"
"en","langs","updated","Language Updated Successfully"
"en","langs","deleted","Language Deleted Successfully"
"en","langs","delete_message","Are you sure you want to delete this language?"
"en","langs","view_all_langs","View All Languages"
"en","langs","status_updated","Langugage status updated"
"en","langs","name","Name"
"en","langs","key","Key"
"en","langs","flag","Flag"
"en","langs","enabled","Enabled"
"en","translations","fetch_new_translations","Fetch New Translations"
"en","translations","reload_translations","Reload Translations"
"en","translations","reload_successfully","Translations Reload Successfully"
"en","translations","fetched_successfully","Translations Fetch Successfully"
"en","storage_settings","updated","Storage Settings Updated"
"en","storage_settings","storage","Storage"
"en","storage_settings","local","Local"
"en","storage_settings","aws","AWS S3 Storage"
"en","storage_settings","aws_key","AWS Key"
"en","storage_settings","aws_secret","AWS Secret"
"en","storage_settings","aws_region","AWS Region"
"en","storage_settings","aws_bucket","AWS Bucket"
"en","mail_settings","updated","Mail Settings Updated"
"en","mail_settings","mail_driver","Mail Driver"
"en","mail_settings","none","None"
"en","mail_settings","mail","Mail"
"en","mail_settings","smtp","SMTP"
"en","mail_settings","from_name","Mail From Name"
"en","mail_settings","from_email","Mail From Email"
"en","mail_settings","host","Host"
"en","mail_settings","port","Port"
"en","mail_settings","encryption","Encryption"
"en","mail_settings","username","Username"
"en","mail_settings","password","Password"
"en","mail_settings","send_test_mail","Send Test Mail"
"en","mail_settings","send_mail_setting_saved","Send mail setting saved"
"en","mail_settings","enable_mail_queue","Enable Mail Queue"
"en","mail_settings","send_mail_for","Send Mail For"
"en","mail_settings","email","Email address for which you want to send test mail"
"en","mail_settings","test_mail_sent_successfully","Test mail sent successfully"
"en","mail_settings","stock_adjustment_create","Stock Adjustment Create"
"en","mail_settings","notificaiton_will_be_sent_to_warehouse","Notification will be sent to warehouse email"
"en","online_orders","order_summary","Order Summary"
"en","online_orders","cancel_order","Cancel Order"
"en","online_orders","order_cancelled","Order cancelled successfully"
"en","online_orders","order_cancelled_message","This order has been cancelled."
"en","online_orders","cancel_message","Are you sure you want to cancel this online order"
"en","online_orders","deliver_message","Are you sure you want to this order as delivered"
"en","online_orders","order_confirmed","Order confirmed successfully"
"en","online_orders","order_status_changed","Order status changed successfully"
"en","online_orders","online_orders_date","Order Date"
"en","online_orders","online_orders_status","Order Status"
"en","online_orders","update_orders_status","Update Order Status"
"en","online_orders","confirm_delivery","Confirm Delivery"
"en","online_orders","order_delivered","Order delivered successfully"
"en","online_orders","user","Customer"
"en","online_orders","online_store_url","Online Store Url"
"en","product_card","add","Add New Product Card"
"en","product_card","edit","Edit Product Card"
"en","product_card","details","Product Card Details"
"en","product_card","created","Product Card Created Successfully"
"en","product_card","updated","Product Card Updated Successfully"
"en","product_card","deleted","Product Card Deleted Successfully"
"en","product_card","delete_message","Are you sure you want to delete this product card?"
"en","product_card","title","Title"
"en","product_card","subtitle","Subtitle"
"en","product_card","products","Products"
"en","front_setting","products","Products"
"en","front_setting","featured_categories","Featured Categories"
"en","front_setting","featured_categories_title","Featured Categories Title"
"en","front_setting","featured_categories_subtitle","Featured Categories Subtitle"
"en","front_setting","featured_products","Featured Products"
"en","front_setting","featured_products_title","Featured Products Title"
"en","front_setting","featured_products_subtitle","Featured Products Subtitle"
"en","front_setting","social_links","Social Links"
"en","front_setting","facebook","Facebook"
"en","front_setting","twitter","Twitter"
"en","front_setting","instagram","Instagram"
"en","front_setting","linkedin","Linkedin"
"en","front_setting","youtube","Youttube"
"en","front_setting","footer","Footer"
"en","front_setting","banners","Banners"
"en","front_setting","placeholder_social_text","Please Enter {0} Url"
"en","front_setting","footers","Footers"
"en","front_setting","copyright_text","Copyright Text"
"en","front_setting","addLink","Add Link"
"en","front_setting","addContactLink","Add Contact Link"
"en","front_setting","addPageDetails","Add Pages Details"
"en","front_setting","required_text","{0} Required"
"en","front_setting","footer_page_widget","Footer Page Widget"
"en","front_setting","footer_contact_widget","Footer Contact Widget"
"en","front_setting","footer_links_widget","Footer Links Widget"
